"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000423","GO:0000423","mitophagy","33/3320","98/18860",0.336734693877551,1.91289648389476,4.18791512366296,9.09221577715171e-05,0.00437643425556916,0.00386748871681248,"ABI2/ATG13/ATG4B/ATG7/ATG9A/BNIP3/BNIP3L/CDC37/CSNK2A2/DNM1L/EIF2AK1/EIF2S1/FBXO7/FUNDC1/LRBA/MAP1LC3B/NOD2/OMA1/PINK1/PRKN/RBX1/RETREG1/RNF41/SLC25A4/SPATA33/SREBF1/SREBF2/STUB1/TIGAR/TOMM7/ULK3/USP36/VPS13C",33
"GO:0006605","GO:0006605","protein targeting","83/3320","319/18860",0.260188087774295,1.47805642633229,3.9802540238866,9.75557182485483e-05,0.004659047700417,0.00411723639845024,"AKT2/ANKRD13C/AP1M2/AP3B1/ATG13/BAG3/BAG4/BAG6/BAP1/BID/BNIP3L/C2CD5/CDC37/CDK5R1/CDKN2A/CSNK2A2/EDEM1/FBXO7/GDAP1/GET1/GNPTAB/GNPTG/GOLGA7/HACL1/HGS/ICMT/INPP5K/ITGB1BP1/LYPLA1/LYSET/MTERF4/MYO1C/NACAD/NAGPA/NCOA4/NPEPPS/PAN3/PARD3/PEX16/PINK1/PML/PRKN/RAB3IP/SAE1/SEC61B/SEC61G/SGTA/SIL1/SMURF1/SNAP25-AS1/SPCS1/SPCS3/SREBF1/SREBF2/SRP14/SRP54/SRP68/SRPRB/SYNGR1/TAOK2/TIMM13/TIMM8B/TOMM20/TOMM34/TOMM40/TOMM7/TRAM2/TTC9-DT/UBE2D3/UBE2J2/UBL5/USP36/VPS13C/VPS37C/YWHAE/YWHAG/ZDHHC11B/ZDHHC12/ZDHHC14/ZDHHC9/ZFAND2A/ZFAND6/ZFYVE16",83
"GO:0090148","GO:0090148","membrane fission","19/3320","45/18860",0.422222222222222,2.39852744310576,4.3413820205335,9.86732104926114e-05,0.00467588632357623,0.00413211681964979,"CHMP1A/CHMP2A/CHMP2B/CHMP3/CHMP5/CHMP7/DNM1/DNM1L/DNM2/EXOC6/EXOC7/EXOC8/HGS/MVB12B/SPAST/TMCC1/VPS28/VPS37C/VPS4B",19
"GO:0006457","GO:0006457","protein folding","63/3320","228/18860",0.276315789473684,1.56967343056436,4.00006008705706,0.000106465476188682,0.00500633427647243,0.00442413622510379,"AHSA2P/APLF/BAG1/BAG3/BAG4/CANX/CCDC47/CCT3/CCT5/CDC37/CHCHD4/CHORDC1/CLGN/CLPX/DNAJA3/DNAJB1/DNAJB11/DNAJB13/DNAJB6/DNAJC25/DNAJC4/DNAJC5/ELP6/ENTPD5/ERO1A/ERP29/FKBP1A/FKBP4/GAK/GRPEL1/GRPEL2/HSP90AA1/HSPA14/HSPA4L/HSPD1/HSPE1/KHSRP/MOGS/MPDU1/NGLY1/NKTR/NUDCD2/P4HB/PDCD5/PDCL3/PDIA3/PDRG1/PFDN1/POFUT2/PPIA/PTGES3/QSOX2/RANBP2/RIC8A/SDHAF4/SIL1/SNRNP70/TBCA/TBCB/TELO2/TXNDC5/UNC45A/ZMYND10",63
"GO:0032204","GO:0032204","regulation of telomere maintenance","36/3320","111/18860",0.324324324324324,1.84239661348095,4.11426169204521,0.000107657936985836,0.00502376312056804,0.0044395382290985,"ACD/ACTR8/ATM/CCT3/CCT5/DKC1/ERCC4/HNRNPA1/HNRNPU/HSP90AA1/INO80C/INO80E/MAP2K7/NABP2/NAT10/NSMCE2/NSMCE3/NSMCE4A/PARN/PARP1/PARP3/PKIB/PML/PPP1R10/PTGES3/RTEL1/SIRT6/SLX4/SMC5/SMC6/SMG6/TNKS2/UPF1/XRCC1/YLPM1/YY1",36
"GO:1901524","GO:1901524","regulation of mitophagy","20/3320","49/18860",0.408163265306122,2.31866240472092,4.27197387114908,0.000115179794881619,0.00533404610690408,0.00471373769802607,"BNIP3L/CDC37/CSNK2A2/DNM1L/EIF2AK1/FBXO7/NOD2/OMA1/PINK1/PRKN/RBX1/RNF41/SLC25A4/SREBF1/SREBF2/STUB1/TIGAR/TOMM7/USP36/VPS13C",20
"GO:0032271","GO:0032271","regulation of protein polymerization","57/3320","202/18860",0.282178217821782,1.60297626148157,3.98241229436137,0.00012038491950439,0.0055331805483484,0.00488971434029703,"ABITRAM/ARHGAP28/ARPC2/ARPC5/BAG4/CAMSAP1/CAMSAP3/CAPG/CAPZA1/CAPZA2/CARMIL2/CDC42EP3/CDC42EP4/CDK5R1/CFL1/CLASP1/CLIP3/CYRIB/DCTN1/DYRK1A/EML2/FKBP4/GBA2/GRB2/HAUS3/HAUS6/HSP90AA1/KANK1/KANK2/KANK3/KIRREL1/MAPRE3/MAPT/MECP2/MLST8/MTPN/NCKAP1/NUMA1/PFN1/PFN2/PINK1/PPP2CA/PRKCE/PYCARD/RAC1/RASA1/SKA1/SPTAN1/SPTBN1/SPTBN2/SPTBN4/SSH1/SSH2/SVIL/TMOD3/TPPP/TWF2",57
"GO:0051225","GO:0051225","spindle assembly","42/3320","137/18860",0.306569343065693,1.74153548500572,4.02631146865127,0.000127817320966659,0.00581229942082561,0.00513637384136948,"ABRAXAS1/ARHGEF10/AURKA/BCCIP/CEP192/CEP63/CHMP1A/CHMP2A/CHMP2B/CHMP3/CHMP5/CHMP7/CLASP1/DYNC1H1/FBXO5/GPSM2/HAUS3/HAUS6/HNRNPU/KASH5/KIF11/KIF2A/MAPRE2/MAPRE3/MLH1/MYBL2/NEK6/NUMA1/RCC1/RHOA/RNF4/SKA1/SKA3/SPICE1/STAG1/STAG2/TUBB/TUBB8/TUBGCP3/TUBGCP4/UHRF1/VPS4B",42
"GO:0000289","GO:0000289","nuclear-transcribed mRNA poly(A) tail shortening","15/3320","32/18860",0.46875,2.66283885542169,4.35136909897713,0.000128359303420818,0.00581229942082561,0.00513637384136948,"CNOT1/CNOT4/CNOT6L/CNOT8/CNOT9/EIF4ENIF1/MLH1/PABPC1/PAN2/PAN3/PARN/POLR2G/TENT4A/TNRC6B/TNRC6C",15
"GO:0045143","GO:0045143","homologous chromosome segregation","25/3320","68/18860",0.367647058823529,2.08850106307583,4.15623099593198,0.000130624562685511,0.00587138199776861,0.00518858557044926,"ANKRD31/ATM/BAG6/CCNE2/EHMT2/HORMAD1/KASH5/KNL1/MAEL/MAJIN/MCMDC2/MLH1/MLH3/MSH4/MSH5/PRDM9/RNF212/SIRT7/SPATA22/SPO11/STAG3/SYCE1/TEX15/ZCWPW1/ZWINT",25
